,frame_count,channel,x,y,w,h,br_x,br_y,mean,max,min
0,1,1,385,356,10,36,395,392,2.1481481481481484,16,0
1,1,1,385,356,10,36,395,392,2.1481481481481484,16,0
2,2,1,385,356,10,36,395,392,14.333333333333334,149,0
3,2,1,385,356,10,36,395,392,14.333333333333334,149,0
4,3,1,385,356,10,36,395,392,19.053703703703704,255,0
5,3,1,385,356,10,36,395,392,19.053703703703704,255,0
6,4,1,385,356,10,36,395,392,16.383333333333333,235,0
7,4,1,385,356,10,36,395,392,16.383333333333333,235,0
8,5,1,385,356,10,36,395,392,4.0962962962962965,36,0
9,5,1,385,356,10,36,395,392,4.0962962962962965,36,0
10,6,1,385,356,10,36,395,392,1.0518518518518518,14,0
11,6,1,385,356,10,36,395,392,1.0518518518518518,14,0
12,7,1,385,356,10,36,395,392,7.522222222222222,134,0
13,7,1,385,356,10,36,395,392,7.522222222222222,134,0
14,8,1,385,356,10,36,395,392,6.151851851851852,123,0
15,8,1,385,356,10,36,395,392,6.151851851851852,123,0
16,9,1,385,356,10,36,395,392,2.3074074074074074,36,0
17,9,1,385,356,10,36,395,392,2.3074074074074074,36,0
18,10,1,385,356,10,36,395,392,6.503703703703704,76,0
19,10,1,385,356,10,36,395,392,6.503703703703704,76,0
20,11,1,385,356,10,36,395,392,7.968518518518518,157,0
21,11,1,385,356,10,36,395,392,7.968518518518518,157,0
22,12,1,385,356,10,36,395,392,9.107407407407408,149,0
23,12,1,385,356,10,36,395,392,9.107407407407408,149,0
24,13,1,385,356,10,36,395,392,8.148148148148149,51,0
25,13,1,385,356,10,36,395,392,8.148148148148149,51,0
26,14,1,385,356,10,36,395,392,4.279629629629629,30,0
27,14,1,385,356,10,36,395,392,4.279629629629629,30,0
28,15,1,385,356,10,36,395,392,3.212962962962963,20,0
29,15,1,385,356,10,36,395,392,3.212962962962963,20,0
30,16,1,385,356,10,36,395,392,2.8425925925925926,19,0
31,16,1,385,356,10,36,395,392,2.8425925925925926,19,0
32,17,1,385,356,10,36,395,392,0.45555555555555555,8,0
33,17,1,385,356,10,36,395,392,0.45555555555555555,8,0
34,18,1,385,356,10,36,395,392,8.116666666666667,178,0
35,18,1,385,356,10,36,395,392,8.116666666666667,178,0
36,19,1,385,356,10,36,395,392,7.572222222222222,128,0
37,19,1,385,356,10,36,395,392,7.572222222222222,128,0
38,20,1,385,356,10,36,395,392,7.7555555555555555,62,0
39,20,1,385,356,10,36,395,392,7.7555555555555555,62,0
40,21,1,385,356,10,36,395,392,3.3537037037037036,24,0
